id,identifier,species_id,height,weight,base_experience,order,is_default
1,bulbasaur,1,7,69,64,1,1
2,ivysaur,2,10,130,142,2,1
3,venusaur,3,20,1000,236,3,1
4,charmander,4,6,85,62,5,1
5,charmeleon,5,11,190,142,6,1
6,charizard,6,17,905,240,7,1
7,squirtle,7,5,90,63,10,1
8,wartortle,8,10,225,142,11,1
9,blastoise,9,16,855,239,12,1
10,caterpie,10,3,29,39,14,1
11,metapod,11,7,99,72,15,1
12,butterfree,12,11,320,173,16,1
13,weedle,13,3,32,39,17,1
14,kakuna,14,6,100,72,18,1
15,beedrill,15,10,295,173,19,1
16,pidgey,16,3,18,50,20,1
17,pidgeotto,17,11,300,122,21,1
18,pidgeot,18,15,395,211,22,1
19,rattata,19,3,35,51,23,1
20,raticate,20,7,185,145,24,1
21,spearow,21,3,20,52,25,1
22,fearow,22,12,380,155,26,1
23,ekans,23,20,69,58,27,1
24,arbok,24,35,650,153,28,1
25,pikachu,25,4,60,105,30,1
26,raichu,26,8,300,214,31,1
27,sandshrew,27,6,120,60,32,1
28,sandslash,28,10,295,158,33,1
29,nidoran-f,29,4,70,55,34,1
30,nidorina,30,8,200,128,35,1
